notification_id,channel,provider,failure_code,failure_reason,retry_count,final_status,timestamp
notif-1,in_app,in_app,INVALID_TEMPLATE,invalid_template,4,FAILED,2026-04-05T13:13:55.598Z
notif-2,sms,msg91,RATE_LIMITED,rate_limited,1,DLQ,2026-05-07T10:46:55.598Z
notif-3,sms,twilio,RATE_LIMITED,rate_limited,2,FAILED,2026-05-26T12:44:55.598Z
notif-4,email,nodemailer,DND_BLOCKED,dnd_blocked,2,FAILED,2026-04-16T13:22:55.598Z
notif-5,in_app,in_app,NETWORK_ERROR,network_error,5,FAILED,2026-05-16T08:28:55.598Z
notif-6,in_app,in_app,INVALID_TEMPLATE,invalid_template,3,DLQ,2026-06-10T11:36:55.598Z
notif-7,sms,twilio,NETWORK_ERROR,network_error,3,FAILED,2026-05-24T19:09:55.598Z
notif-8,push,fcm,RATE_LIMITED,rate_limited,3,FAILED,2026-05-17T19:09:55.598Z
notif-9,email,nodemailer,INVALID_TEMPLATE,invalid_template,5,FAILED,2026-06-11T11:13:55.598Z
notif-10,in_app,in_app,NETWORK_ERROR,network_error,1,FAILED,2026-05-27T13:07:55.598Z
notif-11,whatsapp,whatsapp_cloud,EXPIRED_TOKEN,expired_token,1,FAILED,2026-06-08T19:09:55.599Z
notif-12,email,nodemailer,NETWORK_ERROR,network_error,3,FAILED,2026-04-22T19:09:55.599Z
notif-13,email,nodemailer,RATE_LIMITED,rate_limited,5,DLQ,2026-05-03T08:12:55.599Z
notif-14,sms,twilio,DND_BLOCKED,dnd_blocked,1,FAILED,2026-03-18T13:21:55.599Z
notif-15,sms,msg91,RATE_LIMITED,rate_limited,2,DLQ,2026-04-15T09:36:55.599Z
notif-16,in_app,in_app,INVALID_RECIPIENT,invalid_recipient,1,FAILED,2026-05-21T10:23:55.599Z
notif-17,in_app,in_app,NETWORK_ERROR,network_error,1,FAILED,2026-04-29T11:36:55.599Z
notif-18,email,nodemailer,EXPIRED_TOKEN,expired_token,5,FAILED,2026-03-31T09:03:55.599Z
notif-19,in_app,in_app,DND_BLOCKED,dnd_blocked,2,DLQ,2026-04-01T19:09:55.599Z
notif-20,in_app,in_app,RATE_LIMITED,rate_limited,3,FAILED,2026-05-28T11:06:55.599Z
notif-21,whatsapp,whatsapp_cloud,PROVIDER_TIMEOUT,provider_timeout,4,FAILED,2026-04-13T09:37:55.599Z
