date,channel,provider,total_sent,total_delivered,total_failed,delivery_rate,p50_latency_ms,p95_latency_ms,p99_latency_ms,cost_inr,circuit_opens,avg_retry_count
2025-12-01,sms,msg91,14342,13360,982,0.9315,2734,4664,24735,28.68,0,0.13
2025-12-01,sms,twilio,17074,16382,692,0.9595,1772,4376,16256,34.15,0,0.045
2025-12-01,email,nodemailer,11996,10744,1252,0.8956,1395,9504,15759,3.6,0,0.147
2025-12-01,push,fcm,20934,15510,5424,0.7409,1419,10457,17616,0,0,0.064
2025-12-01,whatsapp,whatsapp_cloud,8363,7730,633,0.9243,2177,5416,41359,41.81,0,0.143
2025-12-01,in_app,internal,8277,8268,9,0.9989,1541,11153,42610,0,0,0.052
2025-12-02,sms,msg91,15610,14933,677,0.9566,2163,8505,38991,31.22,0,0.076
2025-12-02,sms,twilio,15319,14424,895,0.9416,1897,10912,18205,30.64,0,0.044
2025-12-02,email,nodemailer,10206,9075,1131,0.8892,1929,10153,27360,3.06,0,0.054
2025-12-02,push,fcm,20087,15715,4372,0.7823,2058,10962,41575,0,0,0.101
2025-12-02,whatsapp,whatsapp_cloud,9629,9203,426,0.9558,1110,9352,41006,48.15,0,0.125
2025-12-02,in_app,internal,7420,7275,145,0.9805,1808,4941,28112,0,0,0.114
2025-12-03,sms,msg91,16106,15182,924,0.9426,2359,5944,16916,32.21,0,0.107
2025-12-03,sms,twilio,13723,13472,251,0.9817,2084,9485,30313,27.45,0,0.091
2025-12-03,email,nodemailer,10907,9803,1104,0.8988,1721,4270,25787,3.27,0,0.096
2025-12-03,push,fcm,18897,14585,4312,0.7718,2412,6595,31890,0,0,0.129
2025-12-03,whatsapp,whatsapp_cloud,9260,8467,793,0.9144,2935,7676,21361,46.3,0,0.02
2025-12-03,in_app,internal,9098,9090,8,0.9991,2001,4792,35769,0,0,0.105
2025-12-04,sms,msg91,13263,12511,752,0.9433,2148,7839,21257,26.53,0,0.023
2025-12-04,sms,twilio,14519,13581,938,0.9354,2140,4374,37360,29.04,0,0.137
2025-12-04,email,nodemailer,11406,10258,1148,0.8994,1999,10898,28061,3.42,0,0.138
2025-12-04,push,fcm,22093,16646,5447,0.7535,1356,10524,20979,0,0,0.027
2025-12-04,whatsapp,whatsapp_cloud,10059,9367,692,0.9312,1574,7091,37576,50.3,0,0.147
2025-12-04,in_app,internal,7875,7983,-108,1.0137,1314,4467,41291,0,0,0.063
2025-12-05,sms,msg91,17213,16081,1132,0.9342,2445,4613,36778,34.43,0,0.061
2025-12-05,sms,twilio,13546,13032,514,0.9621,1317,7315,20833,27.09,0,0.033
2025-12-05,email,nodemailer,12913,11929,984,0.9238,1285,4732,33795,3.87,0,0.036
2025-12-05,push,fcm,20615,15677,4938,0.7605,2423,9541,17758,0,2,0.058
2025-12-05,whatsapp,whatsapp_cloud,9932,9362,570,0.9426,1274,7077,36349,49.66,0,0.08
2025-12-05,in_app,internal,8378,8421,-43,1.0051,1166,5381,16136,0,0,0.029
2025-12-06,sms,msg91,6563,6324,239,0.9636,1447,10043,43158,13.13,0,0.027
2025-12-06,sms,twilio,6533,6364,169,0.9741,1284,10238,24044,13.07,0,0.087
