event_id,event_type,user_id,timestamp,priority,source_system,channel_preference,status
EVT-1781550595267-0,TXNX-005,user-2018,2026-06-07T13:23:55.267Z,2,trading_engine,email,DELIVERED
EVT-1781550595268-1,MKTX-003,user-1022,2026-05-31T12:11:55.268Z,3,trading_engine,sms,DELIVERED
EVT-1781550595268-2,MKTX-001,user-9604,2026-06-02T10:15:55.268Z,3,trading_engine,push,FAILED
EVT-1781550595268-3,RISK-001,user-1494,2026-05-24T10:11:55.268Z,1,trading_engine,in_app,DELIVERED
EVT-1781550595268-4,RISK-003,user-157,2026-05-21T19:09:55.268Z,1,trading_engine,push,CAPPED
EVT-1781550595268-5,REGX-001,user-278,2026-06-13T13:27:55.268Z,3,trading_engine,whatsapp,DELIVERED
EVT-1781550595268-6,MKTX-002,user-3748,2026-05-30T08:17:55.268Z,3,trading_engine,email,DND
EVT-1781550595268-7,RISK-001,user-7192,2026-06-08T19:09:55.268Z,1,trading_engine,sms,DELIVERED
EVT-1781550595268-8,SIPX-002,user-1180,2026-05-28T09:12:55.268Z,3,trading_engine,push,DND
EVT-1781550595268-9,TXNX-003,user-2373,2026-06-09T08:11:55.268Z,2,trading_engine,sms,CAPPED
EVT-1781550595268-10,REGX-002,user-1440,2026-06-02T09:41:55.268Z,3,trading_engine,whatsapp,DELIVERED
EVT-1781550595268-11,MKTX-005,user-4801,2026-06-12T08:03:55.268Z,3,trading_engine,email,DELIVERED
EVT-1781550595268-12,RISK-003,user-9756,2026-05-28T19:09:55.268Z,1,trading_engine,push,CAPPED
EVT-1781550595268-13,REGX-001,user-2113,2026-05-30T19:09:55.268Z,3,trading_engine,email,CAPPED
EVT-1781550595268-14,TXNX-001,user-864,2026-06-12T13:36:55.268Z,2,trading_engine,email,DELIVERED
EVT-1781550595268-15,RISK-001,user-4947,2026-06-01T11:39:55.268Z,1,trading_engine,sms,FAILED
EVT-1781550595268-16,SIPX-001,user-3851,2026-06-08T12:57:55.268Z,3,trading_engine,push,DND
EVT-1781550595268-17,SIPX-004,user-626,2026-06-05T13:13:55.268Z,3,trading_engine,in_app,DELIVERED
EVT-1781550595268-18,TXNX-003,user-2167,2026-06-01T12:20:55.268Z,2,trading_engine,whatsapp,CAPPED
EVT-1781550595268-19,SIPX-001,user-7217,2026-05-30T09:23:55.268Z,3,trading_engine,in_app,DELIVERED
EVT-1781550595268-20,SIPX-002,user-3770,2026-05-28T11:15:55.268Z,3,trading_engine,in_app,DND
EVT-1781550595268-21,REGX-005,user-1656,2026-05-30T19:09:55.268Z,3,trading_engine,sms,DELIVERED
EVT-1781550595268-22,TXNX-003,user-799,2026-05-19T12:25:55.268Z,2,trading_engine,whatsapp,DND
EVT-1781550595268-23,RISK-001,user-6216,2026-06-08T12:12:55.268Z,1,trading_engine,email,DELIVERED
EVT-1781550595268-24,RISK-003,user-3040,2026-06-01T12:54:55.268Z,1,trading_engine,push,FAILED
EVT-1781550595268-25,RISK-003,user-2176,2026-06-09T09:32:55.268Z,1,trading_engine,push,FAILED
EVT-1781550595268-26,RISK-003,user-8487,2026-05-17T08:18:55.268Z,1,trading_engine,in_app,CAPPED
EVT-1781550595268-27,MKTX-001,user-857,2026-06-14T11:28:55.268Z,3,trading_engine,sms,DELIVERED
EVT-1781550595268-28,TXNX-005,user-6735,2026-06-01T10:04:55.268Z,2,trading_engine,push,DND
EVT-1781550595268-29,REGX-004,user-7071,2026-06-08T19:09:55.268Z,3,trading_engine,in_app,DELIVERED
EVT-1781550595268-30,RISK-001,user-4615,2026-06-02T13:31:55.268Z,1,trading_engine,whatsapp,DELIVERED
EVT-1781550595268-31,RISK-004,user-3329,2026-06-05T19:09:55.268Z,3,trading_engine,email,FAILED
EVT-1781550595268-32,RISK-002,user-5588,2026-06-09T08:45:55.268Z,1,trading_engine,whatsapp,DND
EVT-1781550595268-33,TXNX-005,user-1377,2026-05-28T19:09:55.268Z,2,trading_engine,in_app,DELIVERED
EVT-1781550595268-34,RISK-002,user-5803,2026-05-28T10:23:55.268Z,1,trading_engine,email,CAPPED
EVT-1781550595268-35,SIPX-004,user-9571,2026-05-18T10:52:55.268Z,3,trading_engine,in_app,DELIVERED
EVT-1781550595268-36,MKTX-001,user-8076,2026-05-17T19:09:55.268Z,3,trading_engine,whatsapp,DELIVERED
EVT-1781550595268-37,RISK-005,user-7804,2026-05-18T12:36:55.268Z,3,trading_engine,sms,DELIVERED
EVT-1781550595268-38,TXNX-002,user-5285,2026-05-17T08:00:55.268Z,2,trading_engine,push,DELIVERED
EVT-1781550595268-39,TXNX-005,user-5053,2026-05-19T12:25:55.268Z,2,trading_engine,in_app,CAPPED
EVT-1781550595268-40,TXNX-001,user-169,2026-06-06T19:09:55.268Z,2,trading_engine,email,DELIVERED
EVT-1781550595268-41,RISK-003,user-5393,2026-06-06T13:17:55.268Z,1,trading_engine,push,DELIVERED
