complaint_id,user_id,complaint_type,channel,event_type,description,timestamp,resolved
complaint-1,user-378,irrelevant_content,sms,REGX-004,User complaint: irrelevant content,2026-06-02T09:55:36.399Z,false
complaint-2,user-6037,missing_critical_notification,sms,REGX-001,User complaint: missing critical notification,2026-05-27T13:10:36.399Z,true
complaint-3,user-453,wrong_time,sms,TXNX-003,User complaint: wrong time,2026-06-15T13:16:36.399Z,true
complaint-4,user-1881,irrelevant_content,email,SIPX-001,User complaint: irrelevant content,2026-06-15T10:26:36.399Z,false
complaint-5,user-4900,too_many_notifications,sms,RISK-002,User complaint: too many notifications,2026-06-14T12:59:36.399Z,true
complaint-6,user-7096,too_many_notifications,in_app,TXNX-002,User complaint: too many notifications,2026-06-04T10:26:36.399Z,false
complaint-7,user-8526,irrelevant_content,push,MKTX-001,User complaint: irrelevant content,2026-05-19T08:00:36.399Z,true
complaint-8,user-2967,wrong_time,sms,SIPX-001,User complaint: wrong time,2026-06-04T09:04:36.399Z,true
complaint-9,user-1038,too_many_notifications,whatsapp,SIPX-004,User complaint: too many notifications,2026-06-17T13:38:36.399Z,false
complaint-10,user-433,wrong_time,whatsapp,MKTX-005,User complaint: wrong time,2026-06-11T09:05:36.399Z,false
complaint-11,user-7235,wrong_time,whatsapp,TXNX-003,User complaint: wrong time,2026-05-22T09:20:36.399Z,false
complaint-12,user-2311,wrong_time,email,MKTX-002,User complaint: wrong time,2026-05-19T10:26:36.399Z,false
complaint-13,user-2035,too_many_notifications,in_app,RISK-001,User complaint: too many notifications,2026-06-01T13:47:36.399Z,true
complaint-14,user-4064,too_many_notifications,sms,TXNX-002,User complaint: too many notifications,2026-06-13T12:19:36.399Z,false
complaint-15,user-1793,wrong_time,in_app,RISK-001,User complaint: wrong time,2026-06-13T11:35:36.399Z,false
complaint-16,user-6455,wrong_time,whatsapp,MKTX-005,User complaint: wrong time,2026-05-20T10:47:36.399Z,true
complaint-17,user-724,too_many_notifications,sms,TXNX-005,User complaint: too many notifications,2026-06-02T11:55:36.399Z,true
complaint-18,user-3848,missing_critical_notification,whatsapp,SIPX-002,User complaint: missing critical notification,2026-05-22T10:14:36.399Z,true
complaint-19,user-5938,wrong_time,push,RISK-002,User complaint: wrong time,2026-05-21T11:36:36.399Z,false
